delta,weeks,total_pnl_base,total_pnl_usd,ret_on_notional,win_rate,sharpe_w,max_dd_base,premium_sum_base,retained,first,last
0.05,208,0.16205367856944186,309.43579657832026,0.0007791042238915474,0.9663461538461539,1.183868060400785,-0.04479693628082265,0.3637,0.4455696413787238,2022-09-02,2026-08-21
0.1,208,0.27957910867586583,580.063095103361,0.001344130330172432,0.9519230769230769,1.0887032921971433,-0.07307259596686774,0.7201,0.3882503939395443,2022-09-02,2026-08-21
0.15,208,0.5413569928332578,1182.9623751699569,0.0026026778501598933,0.9182692307692307,1.8463301636223435,-0.07358890819221264,1.1469999999999998,0.47197645408304956,2022-09-02,2026-08-21
0.2,208,0.644550950179203,1307.4429158686485,0.0030988026450923223,0.8509615384615384,1.7226242526616122,-0.09213518913221336,1.6273,0.3960861243650237,2022-09-02,2026-08-21
0.25,208,0.8056208858052131,1721.0346255407464,0.003873177335601986,0.8413461538461539,1.8557915565816043,-0.10633311848427357,2.0780000000000003,0.387690512899525,2022-09-02,2026-08-21
0.3,208,1.053298755753556,2303.282157250932,0.00506393632573825,0.8173076923076923,2.3030902544328735,-0.09500305546591203,2.6746,0.3938154324959082,2022-09-02,2026-08-21
0.35,208,1.145812951233443,2417.931334603173,0.005508716111699245,0.7884615384615384,2.1931513864571444,-0.11058164948035631,3.3432000000000004,0.34272940632730403,2022-09-02,2026-08-21
0.4,208,1.2924877794356335,2753.626800037373,0.006213883554979007,0.7884615384615384,2.316994452155871,-0.11321567149957151,3.9046,0.33101669298663977,2022-09-02,2026-08-21
0.45,208,1.3194628599397755,2686.265739023373,0.006343571442018151,0.7740384615384616,2.2274044681700387,-0.12136024232514253,4.7296000000000005,0.278979799547483,2022-09-02,2026-08-21
0.5,208,1.35979307814359,2795.7003822014312,0.006537466721844183,0.7548076923076923,2.179515674271654,-0.12930857755488123,5.51,0.24678640256689477,2022-09-02,2026-08-21
0.55,208,1.4320724129213427,2978.6190370048807,0.006884963523660302,0.7644230769230769,2.309793337670286,-0.12278667309768532,6.525600000000001,0.21945451957235235,2022-09-02,2026-08-21
0.6,208,1.459955445752519,3234.6266913891322,0.0070190165661178795,0.7932692307692307,2.491535056567468,-0.12612787252253832,7.505700000000001,0.1945128962991485,2022-09-02,2026-08-21
