friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,1635.9,1548.42,-0.053475151292866285,ETH-4SEP22-1750-C,1750.0,0.08945255923691842,0.7289535046487525,0.002,0.0,open@16,ETH-4SEP22-1500-P,1500.0,-0.05998172598204121,0.8407733371823713,0.0015,0.0,open@16,0.0030625,0.0035,0.0004375,5.009943750000001,0.0030625
2022-09-09,2022-09-11,1718.75,1760.54,0.02431418181818179,ETH-11SEP22-1850-C,1850.0,0.10918064784306708,0.864225893881237,0.003,0.0,close@13,ETH-11SEP22-1600-P,1600.0,-0.09403142958937682,0.8222333534398001,0.0025,0.0,open@16,0.0049,0.0055,0.0006,8.421875,0.0049
2022-09-16,2022-09-18,1451.45,1454.24,0.0019222157153191421,ETH-18SEP22-1550-C,1550.0,0.10438685837433598,0.7579803364009152,0.0025,0.0,open@16,ETH-18SEP22-1300-P,1300.0,-0.1016068596164974,1.3284796094662146,0.0045,0.0,open@16,0.0063999999999999994,0.006999999999999999,0.0006,9.28928,0.0063999999999999994
2022-09-23,2022-09-25,1293.15,1332.01,0.030050651509878845,ETH-25SEP22-1400-C,1400.0,0.08090555784032716,0.8234224747148358,0.002,0.0,open@16,ETH-25SEP22-1150-P,1150.0,-0.08397916523300963,1.3006451600422753,0.0035,0.0,close@15,0.00495,0.0055,0.0005499999999999999,6.401092500000001,0.00495
2022-09-30,2022-10-02,1350.95,1311.7,-0.02905362892779151,ETH-2OCT22-1450-C,1450.0,0.05489435817588362,0.6459630991050742,0.001,0.0,open@16,ETH-2OCT22-1250-P,1250.0,-0.06467166233232713,0.771027919877048,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,2.9552031250000006,0.0021875
2022-10-07,2022-10-09,1333.5,1315.8,-0.013273340832395952,ETH-9OCT22-1400-C,1400.0,0.09103765837625172,0.5325250968125927,0.0015,0.0,open@16,ETH-9OCT22-1250-P,1250.0,-0.07310626700875744,0.6689788749620493,0.0015,0.0,open@16,0.002625,0.003,0.000375,3.5004375000000003,0.002625
2022-10-14,2022-10-16,1309.55,1283.65,-0.01977778626245652,ETH-16OCT22-1400-C,1400.0,0.0350487833878782,0.5402374568198756,0.0005,0.0,open@16,ETH-16OCT22-1250-P,1250.0,-0.10745868817334614,0.5640235639887914,0.002,0.0,open@16,0.0021875,0.0025,0.0003125,2.8646406250000003,0.0021875
2022-10-21,2022-10-23,1297.7,1308.85,0.008592124528010947,ETH-23OCT22-1350-C,1350.0,0.08007688916315092,0.41220920764676405,0.001,0.0,open@16,ETH-23OCT22-1225-P,1225.0,-0.07882108015256373,0.6127664702455853,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,2.8387187500000004,0.0021875
2022-10-28,2022-10-30,1537.7,1629.5,0.05969955127788262,ETH-30OCT22-1625-C,1625.0,0.15112061724972703,0.7725719698908975,0.004,0.0027615833077631177,open@17,ETH-30OCT22-1450-P,1450.0,-0.07788100958223498,0.6214196335962383,0.0015,0.0,open@16,0.002100916692236883,0.0055,0.0006375,3.230579597652655,0.002100916692236883
2022-11-04,2022-11-06,1626.6,1621.36,-0.0032214435017828835,ETH-6NOV22-1725-C,1725.0,0.08106276924505762,0.6126912256640431,0.0015,0.0,open@16,ETH-6NOV22-1525-P,1525.0,-0.08770508698796209,0.7172251877802571,0.002,0.0,open@16,0.0030625,0.0035,0.0004375,4.9814625,0.0030625
2022-11-11,2022-11-13,1256.15,1244.1,-0.009592803407236561,ETH-13NOV22-1400-C,1400.0,0.05467368558876273,0.9817517543689549,0.0015,0.0,open@16,ETH-13NOV22-1050-P,1050.0,-0.08342782605816379,2.018624003044444,0.0055,0.0,open@16,0.0065125,0.006999999999999999,0.0004875,8.180676875000001,0.0065125
2022-11-18,2022-11-20,1209.95,1218.95,0.00743832389768162,ETH-20NOV22-1275-C,1275.0,0.08703722173047723,0.5622902792749984,0.0015,0.0,open@16,ETH-20NOV22-1125-P,1125.0,-0.08112297005308533,0.7857586418500428,0.002,0.0,open@16,0.0030625,0.0035,0.0004375,3.705471875,0.0030625
2022-11-25,2022-11-27,1188.85,1217.66,0.024233502965050446,ETH-27NOV22-1250-C,1250.0,0.10676575350937417,0.5873414683680487,0.002,0.0,open@16,ETH-27NOV22-1125-P,1125.0,-0.11040425140524635,0.6799829364207028,0.0025,0.0,open@16,0.00395,0.0045000000000000005,0.0005499999999999999,4.6959575000000005,0.00395
2022-12-02,2022-12-04,1279.75,1256.87,-0.01787849189294788,ETH-4DEC22-1350-C,1350.0,0.06601947289329885,0.5190425413487263,0.001,0.0,open@16,ETH-4DEC22-1225-P,1225.0,-0.09402562663197744,0.49790934354172955,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,2.7994531250000003,0.0021875
2022-12-09,2022-12-11,1278.2,1275.91,-0.0017915819120638554,ETH-11DEC22-1325-C,1325.0,0.10910813290893284,0.4271862871132355,0.0015,0.0,close@15,ETH-11DEC22-1225-P,1225.0,-0.07431867881412368,0.44010052744546246,0.001,0.0,open@16,0.0021875,0.0025,0.0003125,2.7960625000000006,0.0021875
2022-12-16,2022-12-18,1203.8,1187.07,-0.013897657418175835,ETH-18DEC22-1250-C,1250.0,0.10618301236580019,0.441615744109326,0.0015,0.0,open@16,ETH-18DEC22-1125-P,1125.0,-0.08502229281826656,0.7438187536926537,0.002,0.0,open@16,0.0030625,0.0035,0.0004375,3.6866375,0.0030625
2022-12-23,2022-12-25,1218.85,1218.73,-9.845346022885337e-05,ETH-25DEC22-1275-C,1275.0,0.0461156746175716,0.39275321416970144,0.0005,0.0,open@16,ETH-25DEC22-1175-P,1175.0,-0.10484601135107896,0.4374009292724076,0.0015,0.0,close@15,0.00175,0.002,0.00025,2.1329875,0.00175
2022-12-30,2023-01-01,1193.5,1193.85,0.0002932551319647647,ETH-1JAN23-1225-C,1225.0,0.10337642289085724,0.3028923077007504,0.001,0.0,open@16,ETH-1JAN23-1150-P,1150.0,-0.08114133765651221,0.39699328793752797,0.001,0.0,open@16,0.00175,0.002,0.00025,2.088625,0.00175
2023-01-06,2023-01-08,1262.95,1263.51,0.00044340631062200764,ETH-8JAN23-1300-C,1300.0,0.12372779153464952,0.36605452996687693,0.0015,0.0,open@16,ETH-8JAN23-1225-P,1225.0,-0.09189719662323115,0.34267099887940944,0.001,0.0,close@15,0.0021875,0.0025,0.0003125,2.7627031250000003,0.0021875
