friday,ret,spot_ratio,C_strike,P_strike,entry_spot,settle,selected_dc,selected_dp,window_idx
2024-08-30,0.012400000000000001,1.0130240346327417,2500.0,2400.0,2448.55,2480.44,0.3,0.3,1
2024-09-06,0.0189,1.003377389404697,2325.0,2250.0,2288.75,2296.48,0.3,0.3,1
2024-09-13,0.0114,1.0057535440752194,2450.0,2375.0,2408.95,2422.81,0.3,0.3,1
2024-09-20,0.0129,1.0095308748023348,2600.0,2525.0,2561.15,2585.56,0.3,0.3,1
2024-09-27,0.005814935249078362,0.9851560753929822,2750.0,2650.0,2684.6,2644.75,0.3,0.3,1
2024-10-04,0.0107,1.0005876024166185,2450.0,2375.0,2416.6,2418.02,0.3,0.3,1
2024-10-11,0.0079,1.0078585461689589,2475.0,2400.0,2443.2,2462.4,0.3,0.3,1
2024-10-18,0.0104,0.9974930729647711,2700.0,2625.0,2652.65,2646.0,0.3,0.3,1
2024-10-25,0.0030053187194703105,0.9815350477473551,2550.0,2500.0,2523.7,2477.1,0.3,0.3,1
2024-11-01,0.0079,0.9803260978293488,2550.0,2450.0,2499.25,2450.08,0.3,0.3,1
2024-11-08,-0.04747913930739653,1.0853386399972789,3000.0,2875.0,2939.7,3190.57,0.3,0.3,1
2024-11-15,-0.0012843145682502862,1.0390485957193423,3100.0,2975.0,3022.9,3140.94,0.3,0.3,1
2024-11-22,0.011527200997284662,1.0307574114244398,3400.0,3250.0,3319.2,3421.29,0.3,0.3,1
2024-11-29,0.0107481667601259,1.0248045310125709,3700.0,3550.0,3619.5,3709.28,0.3,0.3,1
2024-12-06,0.0149,0.9969168448295262,4100.0,3925.0,3999.15,3986.82,0.3,0.3,1
2024-12-13,0.0129,0.9886727894831623,3975.0,3825.0,3887.1,3843.07,0.3,0.3,1
2024-12-20,0.0229,0.9869197123582177,3475.0,3275.0,3372.25,3328.14,0.3,0.3,1
2024-12-27,0.0149,1.0218757993890786,3400.0,3250.0,3322.85,3395.54,0.3,0.3,1
2025-01-03,0.00876223494171614,1.0190842264743842,3625.0,3500.0,3564.2,3632.22,0.3,0.3,1
2025-01-10,0.0149,1.0069721207637894,3300.0,3175.0,3244.35,3266.97,0.3,0.3,1
2025-01-17,-0.018737670914845017,0.956272548017235,3500.0,3375.0,3423.25,3273.56,0.3,0.3,1
2025-01-24,0.0169,0.9858430352816028,3450.0,3325.0,3384.2,3336.29,0.3,0.3,1
2025-01-31,-0.07951182200307169,0.9019656449590248,3500.0,3375.0,3428.9,3092.75,0.3,0.3,1
2025-02-07,0.01128669063668165,0.9787459133820666,2775.0,2675.0,2722.3,2664.44,0.3,0.3,1
2025-02-14,0.0109,0.9858158881067739,2775.0,2675.0,2734.75,2695.96,0.3,0.3,1
2025-02-21,-0.0039222772452650306,1.0360328940122618,2775.0,2675.0,2723.9,2822.05,0.3,0.3,1
2025-02-28,0.037899999999999996,0.9996131615050716,2275.0,2175.0,2223.15,2222.29,0.3,0.4,2
2025-03-07,0.0374,0.989051888073893,2275.0,2175.0,2208.6,2184.42,0.3,0.4,2
2025-03-14,0.0184,1.0024772313296904,1975.0,1900.0,1921.5,1926.26,0.3,0.4,2
2025-03-21,-0.004326323987538941,1.0290572425112845,1975.0,1925.0,1949.6,2006.25,0.3,0.4,2
2025-03-28,0.011016793216356437,0.982703511678871,1900.0,1850.0,1870.9,1838.54,0.3,0.4,2
2025-04-04,0.0204,1.0021898420304793,1850.0,1775.0,1794.65,1798.58,0.3,0.4,2
2025-04-11,0.012444558076112501,1.0314208086942624,1600.0,1550.0,1564.25,1613.4,0.3,0.4,2
2025-04-18,0.0144,1.0075063974978675,1600.0,1575.0,1582.65,1594.53,0.3,0.4,2
2025-04-25,0.021400000000000002,0.9983011454817111,1850.0,1800.0,1807.1,1804.03,0.3,0.4,2
2025-05-02,0.0129,0.9985884907709013,1875.0,1825.0,1842.0,1839.4,0.3,0.4,2
2025-05-09,0.015061736513417915,1.076949145178459,2425.0,2275.0,2301.65,2478.76,0.3,0.4,2
2025-05-16,-0.010501280198924837,0.9650155991218271,2650.0,2575.0,2596.3,2505.47,0.3,0.4,2
2025-05-23,3.776715850430795e-05,0.9705983105609404,2650.0,2550.0,2568.9,2493.37,0.3,0.4,2
2025-05-30,0.0014230639757466905,0.965914381914382,2650.0,2575.0,2598.75,2510.17,0.3,0.4,2
2025-06-06,0.0204,1.0014892092060204,2550.0,2500.0,2511.4,2515.14,0.3,0.4,2
2025-06-13,0.0194,0.9905442723124229,2625.0,2525.0,2552.95,2528.81,0.3,0.4,2
2025-06-20,-0.07203042898035818,0.9119902153426636,2525.0,2475.0,2493.7,2274.23,0.3,0.4,2
2025-06-27,0.0149,0.9999098046450606,2475.0,2425.0,2439.15,2438.93,0.3,0.4,2
2025-07-04,0.0144,1.0075394763142116,2525.0,2475.0,2501.5,2520.36,0.3,0.4,2
2025-07-11,0.0204,1.003491128267642,3025.0,2925.0,2953.2,2963.51,0.3,0.4,2
2025-07-18,0.009785588519218529,1.0313258080347751,3650.0,3525.0,3565.75,3677.45,0.3,0.4,2
2025-07-25,-0.005759118565197315,1.0380776848591549,3700.0,3600.0,3635.2,3773.62,0.3,0.4,2
2025-08-01,-0.01599724670400446,0.9559376902219024,3700.0,3575.0,3614.2,3454.95,0.3,0.4,2
2025-08-08,-0.019492660619406816,1.059378238341969,4050.0,3925.0,3956.5,4191.43,0.3,0.4,2
2025-08-15,0.0219,1.0090077076726893,4525.0,4400.0,4430.65,4470.56,0.3,0.4,2
2025-08-22,0.008575917050845854,1.033320335348021,4750.0,4600.0,4616.1,4769.91,0.3,0.4,2
2025-08-29,0.0053967308063727045,1.031966348772263,4400.0,4300.0,4314.85,4452.78,0.3,0.4,3
2025-09-05,0.0189,1.0039451555638608,4375.0,4250.0,4281.2,4298.09,0.3,0.4,3
2025-09-12,-0.0012039070932136067,1.0256885983735544,4600.0,4525.0,4543.65,4660.37,0.3,0.4,3
2025-09-19,0.0109,1.0016156605101734,4525.0,4450.0,4474.95,4482.18,0.3,0.4,3
2025-09-26,0.0179,1.0166953746390395,4025.0,3900.0,3947.8,4013.71,0.3,0.4,3
2025-10-03,0.012400000000000001,1.0099628842362631,4600.0,4525.0,4539.85,4585.08,0.3,0.4,3
2025-10-10,-0.046935395459127505,0.9332390967914895,4200.0,4075.0,4103.15,3829.22,0.3,0.4,3
2025-10-17,0.027899999999999998,1.022810665683978,3900.0,3750.0,3799.1,3885.76,0.3,0.4,3
2025-10-24,0.012825954240986606,1.0152691571250498,3950.0,3850.0,3890.85,3950.26,0.3,0.4,3
2025-10-31,0.012400000000000001,1.010477633982356,3925.0,3825.0,3859.65,3900.09,0.3,0.4,3
2025-11-07,0.007001876728565811,1.0367285636264336,3375.0,3275.0,3295.8,3416.85,0.3,0.4,3
2025-11-14,0.0264,1.0046717566806433,3300.0,3150.0,3195.8,3210.73,0.3,0.4,3
2025-11-21,0.028899999999999995,1.0314561023876898,2800.0,2650.0,2703.45,2788.49,0.3,0.4,3
2025-11-28,-0.0018401388491554376,0.9780040666937779,3100.0,3050.0,3073.75,3006.14,0.3,0.4,3
2025-12-05,0.004597477914874281,0.9772520238842483,3150.0,3075.0,3106.65,3035.98,0.3,0.4,3
2025-12-12,0.016399999999999998,1.0135556242978785,3150.0,3050.0,3071.05,3112.68,0.3,0.4,3
2025-12-19,0.0139,1.004533571705655,3050.0,2950.0,2964.55,2977.99,0.3,0.4,3
2025-12-26,0.010700000000000001,1.0047188050712612,2975.0,2900.0,2922.35,2936.14,0.3,0.4,3
2026-01-02,0.0105,1.0179643048193359,3150.0,3075.0,3084.45,3139.86,0.3,0.4,3
2026-01-09,0.008247463374229888,0.994008394037339,3150.0,3100.0,3109.35,3090.72,0.3,0.4,3
2026-01-16,0.006394492752746809,1.0137031645084669,3300.0,3250.0,3262.75,3307.46,0.3,0.4,3
2026-01-23,0.007000000000000001,0.9957793748728726,3000.0,2925.0,2949.8,2937.35,0.3,0.4,3
2026-01-30,-0.10334654196559342,0.8870953534463775,2775.0,2700.0,2724.6,2416.98,0.3,0.4,3
2026-02-06,0.0031615790284087565,1.050066947932193,2050.0,1950.0,1979.15,2078.24,0.3,0.4,3
2026-02-13,0.004949472792858201,1.02786191974823,2075.0,2000.0,2033.6,2090.26,0.3,0.4,3
